Filename,subj,month,subreg_tot_ms,makeup_tot_ms,extra_tot_ms,sil_tot_ms,skip_tot_ms,num_subreg_annots,num_extra_subreg,num_makeup_subreg,total_listen_ms,total_listen_hr
26_07_sparse_code.cha,26,7,0,0,0,34481370,0,0,0,0,23118620,6.421838889
06_07_sparse_code.cha,6,7,0,0,0,32997320,0,0,0,0,24602670,6.834075
16_08_sparse_code.cha,16,8,7200000,294960,0,0,221350,2,0,1,7273610,2.020447222
39_13_sparse_code.cha,39,13,10799000,0,0,0,460590,3,0,0,10338410,2.871780556
34_10_sparse_code.cha,34,10,10800000,0,0,268230,0,3,0,0,10531770,2.925491667
34_13_sparse_code.cha,34,13,10800000,0,0,0,0,3,0,0,10800000,3
38_09_sparse_code.cha,38,9,10800000,0,0,0,0,3,0,0,10800000,3
25_10_sparse_code.cha,25,10,10800000,1250,0,0,0,3,0,1,10801250,3.000347222
01_14_sparse_code.cha,1,14,10799999,0,0,0,0,3,0,0,10799999,2.999999722
01_15_sparse_code.cha,1,15,10800000,0,0,0,0,3,0,0,10800000,3
01_16_sparse_code.cha,1,16,10800000,0,0,0,0,3,0,0,10800000,3
01_17_sparse_code.cha,1,17,10800000,0,0,0,0,3,0,0,10800000,3
07_06_sparse_code.cha,7,6,0,0,0,30153740,0,0,0,0,27446250,7.623958333
28_06_sparse_code.cha,28,6,0,0,0,15766460,0,0,0,0,27753220,7.709227778
21_11_sparse_code.cha,21,11,10800000,3528900,0,0,3355480,3,0,1,10973420,3.048172222
25_08_sparse_code.cha,25,8,10800000,941820,0,0,0,3,0,1,11741820,3.261616667
34_09_sparse_code.cha,34,9,10800000,0,1500460,237410,0,3,1,0,12063050,3.350847222
42_12_sparse_code.cha,42,12,14400000,3143510,0,3135790,3132030,4,0,1,11275690,3.132136111
35_08_sparse_code.cha,35,8,14400000,1911090,0,1903330,2834850,4,0,1,11572910,3.214697222
36_10_sparse_code.cha,36,10,14400000,0,0,2332010,0,4,0,0,12067990,3.352219444
02_14_sparse_code.cha,2,14,10800000,0,0,0,0,3,0,0,10800000,3
02_15_sparse_code.cha,2,15,10800000,0,0,144570,0,3,0,0,10655430,2.959841667
02_16_sparse_code.cha,2,16,10800000,0,0,0,0,3,0,0,10800000,3
02_17_sparse_code.cha,2,17,10800000,0,0,0,0,3,0,0,10800000,3
25_07_sparse_code.cha,25,7,0,0,0,13564260,0,0,0,0,27826670,7.729630556
26_06_sparse_code.cha,26,6,0,0,0,29536290,0,0,0,0,28063700,7.795472222
40_11_sparse_code.cha,40,11,14399990,35860,1174360,3123950,0,4,4,1,12486260,3.468405556
38_12_sparse_code.cha,38,12,14400000,1084690,0,1374180,1374180,4,0,1,12736330,3.537869444
03_08_sparse_code.cha,3,8,14400000,1156020,143560,325820,2606210,4,1,1,12767550,3.546541667
17_11_sparse_code.cha,17,11,14400000,0,0,305430,1323330,4,0,0,12771240,3.547566667
43_09_sparse_code.cha,43,9,14399999,0,0,81530,1524000,4,0,0,12794469,3.554019167
41_09_sparse_code.cha,41,9,14400000,1260700,0,1456130,1260580,4,0,1,12943990,3.595552778
03_14_sparse_code.cha,3,14,10799990,958570,0,957360,0,3,0,1,10801200,3.000333333
03_15_sparse_code.cha,3,15,10800000,0,0,0,0,3,0,0,10800000,3
03_16_sparse_code.cha,3,16,10800000,0,0,27700,0,3,0,0,10772300,2.992305556
03_17_sparse_code.cha,3,17,10800000,0,0,0,0,3,0,0,10800000,3
13_07_sparse_code.cha,13,7,0,0,0,14992160,0,0,0,0,28248890,7.846913889
45_07_sparse_code.cha,45,7,0,0,0,9698670,1624980,0,0,0,28402260,7.889516667
08_12_sparse_code.cha,8,12,14400000,600140,0,0,1908870,4,0,1,13091270,3.636463889
33_11_sparse_code.cha,33,11,14400000,0,0,296200,1006850,4,0,0,13096950,3.638041667
30_11_sparse_code.cha,30,11,14400000,355920,499820,1459080,695980,4,1,1,13100680,3.639077778
23_11_sparse_code.cha,23,11,14400000,0,0,279470,905690,4,0,0,13214840,3.670788889
09_13_sparse_code.cha,9,13,14400000,943270,0,1306070,774320,4,0,1,13262880,3.684133333
21_09_sparse_code.cha,21,9,14399999,712620,0,1786700,0,4,0,1,13325919,3.701644167
04_14_sparse_code.cha,4,14,10800000,2860,0,0,0,3,0,1,10802860,3.000794444
04_15_sparse_code.cha,4,15,10800000,0,0,0,0,3,0,0,10800000,3
04_16_sparse_code.cha,4,16,10800000,0,0,0,0,3,0,0,10800000,3
04_17_sparse_code.cha,4,17,10800000,0,0,0,0,3,0,0,10800000,3
44_07_sparse_code.cha,44,7,0,0,0,10744180,0,0,0,0,28980500,8.050138889
37_06_sparse_code.cha,37,6,0,0,0,28026040,1343790,0,0,0,29573950,8.214986111
06_09_sparse_code.cha,6,9,14400000,1060790,0,14480,2081440,4,0,1,13364870,3.712463889
25_09_sparse_code.cha,25,9,14399999,1018470,0,991860,1012080,4,0,1,13414529,3.726258056
28_08_sparse_code.cha,28,8,14400000,0,0,928960,0,4,0,0,13471040,3.741955556
35_09_sparse_code.cha,35,9,14400000,899860,0,916580,883220,4,0,1,13500060,3.750016667
10_08_sparse_code.cha,10,8,14400000,0,0,414220,402390,4,0,0,13583390,3.773163889
15_10_sparse_code.cha,15,10,14399999,1672010,0,0,2469200,4,0,2,13602809,3.778558056
06_14_sparse_code.cha,6,14,10800000,0,0,0,0,3,0,0,10800000,3
06_15_sparse_code.cha,6,15,10800000,0,0,663270,0,3,0,0,10136730,2.815758333
