filename,subregion_time,skip_time,num_makeup_region,num_subregion_with_annot,total_listen_time,num_extra_region,silence_time,num_surplus_region,surplus_time,makeup_time,extra_time,extra_time_hour,makeup_time_hour,surplus_time_hour,silence_time_hour,subregion_time_hour,skip_time_hour,skip_silence_overlap_hour,end_time_hour,total_listen_time_hour,silence_raw_hour,subregion_raw_hour,num_raw_subregion,subregions,positions,ranks,counts,removals
01_06_sparse_code.cha,0,23736050,0,0,30163640,0,21101110,0,0,0,0,0.0,0.0,0.0,5.86,0.0,6.59,4.83,16.0,8.38,5.86,0.0,0,[],[],[],"[0, 0, 0, 0, 0]","['', '', '', '', '']"
01_07_sparse_code.cha,0,737060,0,0,34588570,0,22274360,0,0,0,0,0.0,0.0,0.0,6.19,0.0,0.2,0.0,16.0,9.61,6.19,0.0,0,[],[],[],"[0, 0, 0, 0, 0]","['', '', '', '', '']"
01_08_sparse_code.cha,7200000,0,0,2,13592320,1,0,3,6092080,0,300240,0.08,0.0,1.69,0.0,2.0,0.0,0.0,16.0,3.78,5.03,5.0,5,"['Position: 1, Rank: 1', 'Position: 2, Rank: 5', 'Position: 3, Rank: 2', 'Position: 4, Rank: 4', 'Position: 5, Rank: 3']","['1', '2', '3', '4', '5']","['1', '5', '2', '4', '3']","[137, 58, 37, 65, 51]","['Subregion removed for overlapping with surplus', 'Subregion removed for overlapping with surplus', 'Subregion removed for overlapping with surplus', '', '']"
01_09_sparse_code.cha,14400000,0,0,4,16989970,2,0,0,0,0,2589970,0.72,0.0,0.0,0.0,4.0,0.0,0.0,16.0,4.72,1.53,5.0,5,"['Position: 1, Rank: 5', 'Position: 2, Rank: 2', 'Position: 3, Rank: 3', 'Position: 4, Rank: 4', 'Position: 5, Rank: 1']","['1', '2', '3', '4', '5']","['5', '2', '3', '4', '1']","[0, 67, 182, 61, 38]","['Subregion removed for not having any annotations', '', '', '', '']"
01_10_sparse_code.cha,14400000,0,0,4,15273640,0,0,1,873640,0,0,0.0,0.0,0.24,0.0,4.0,0.0,0.0,16.0,4.24,3.58,5.0,5,"['Position: 1, Rank: 2', 'Position: 2, Rank: 5', 'Position: 3, Rank: 4', 'Position: 4, Rank: 3', 'Position: 5, Rank: 1']","['1', '2', '3', '4', '5']","['2', '5', '4', '3', '1']","[226, 27, 132, 280, 89]","['', 'Subregion removed for overlapping with surplus', '', '', '']"
01_11_sparse_code.cha,14400000,0,0,4,14400000,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,16.0,4.0,0.87,5.0,5,"['Position: 1, Rank: 3', 'Position: 2, Rank: 2', 'Position: 3, Rank: 1', 'Position: 4, Rank: 4', 'Position: 5, Rank: 5']","['1', '2', '3', '4', '5']","['3', '2', '1', '4', '5']","[227, 129, 103, 139, 0]","['', '', '', '', 'Subregion removed for not having any annotations']"
01_12_sparse_code.cha,14400000,0,0,4,14400000,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,16.0,4.0,1.12,5.0,5,"['Position: 1, Rank: 2', 'Position: 2, Rank: 4', 'Position: 3, Rank: 1', 'Position: 4, Rank: 5', 'Position: 5, Rank: 3']","['1', '2', '3', '4', '5']","['2', '4', '1', '5', '3']","[171, 89, 163, 0, 171]","['', '', '', 'Subregion removed for not having any annotations', '']"
01_13_sparse_code.cha,14400000,126870,1,4,14412700,0,0,0,0,139570,0,0.0,0.04,0.0,0.0,4.0,0.04,0.0,16.0,4.0,0.17,5.0,5,"['Position: 1, Rank: 5', 'Position: 2, Rank: 1', 'Position: 3, Rank: 4', 'Position: 4, Rank: 2', 'Position: 5, Rank: 3']","['1', '2', '3', '4', '5']","['5', '1', '4', '2', '3']","[3, 135, 37, 128, 59]","['Subregion removed for having a nested makeup or surplus region', '', '', '', '']"
01_14_sparse_code.cha,10799999,0,0,3,10799999,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,16.0,3.0,4.72,5.0,5,"['Position: 1, Rank: 2', 'Position: 2, Rank: 3', 'Position: 3, Rank: 1', 'Position: 4, Rank: 5', 'Position: 5, Rank: 4']","['1', '2', '3', '4', '5']","['2', '3', '1', '5', '4']","[127, 135, 28, 0, 0]","['', '', '', 'Subregion removed for not having any annotations', 'Subregion removed for not having any annotations']"
01_15_sparse_code.cha,10800000,0,0,3,10800000,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,16.0,3.0,3.9,5.0,5,"['Position: 1, Rank: 2', 'Position: 2, Rank: 4', 'Position: 3, Rank: 1', 'Position: 4, Rank: 3', 'Position: 5, Rank: 5']","['1', '2', '3', '4', '5']","['2', '4', '1', '3', '5']","[141, 0, 146, 247, 0]","['', 'Subregion removed for not having any annotations', '', '', 'Subregion removed for not having any annotations']"
