filename,1,2,3,4,5,total,outside
01_06_sparse_code.cha,0,0,0,0,0,463,463
01_07_sparse_code.cha,0,0,0,0,0,359,359
01_08_sparse_code.cha,144,63,45,68,63,555,155
01_09_sparse_code.cha,0,74,206,66,48,535,0
01_10_sparse_code.cha,282,32,156,366,97,933,0
01_11_sparse_code.cha,270,143,115,164,0,692,0
01_12_sparse_code.cha,202,100,188,0,213,703,0
01_13_sparse_code.cha,3,155,40,169,69,436,0
01_14_sparse_code.cha,106,154,23,0,0,283,0
01_15_sparse_code.cha,103,0,121,252,0,476,0
01_16_sparse_code.cha,177,131,0,0,136,444,0
01_17_sparse_code.cha,120,151,131,0,0,402,0
02_06_sparse_code.cha,0,0,0,0,0,936,936
02_07_sparse_code.cha,0,0,0,0,0,843,843
02_08_sparse_code.cha,136,126,81,60,72,611,136
02_09_sparse_code.cha,188,0,156,83,74,661,0
02_10_sparse_code.cha,27,42,21,76,106,273,1
02_11_sparse_code.cha,93,47,81,96,219,536,0
02_12_sparse_code.cha,236,154,162,2,65,628,0
02_13_sparse_code.cha,182,124,149,168,5,628,0
02_14_sparse_code.cha,76,0,54,0,161,291,0
02_15_sparse_code.cha,85,193,0,0,148,426,0
02_16_sparse_code.cha,0,0,55,94,46,195,0
02_17_sparse_code.cha,96,67,172,0,0,335,0
03_06_sparse_code.cha,0,0,0,0,0,755,755
03_07_sparse_code.cha,0,0,0,0,0,457,457
03_08_sparse_code.cha,161,235,171,37,31,673,0
03_09_sparse_code.cha,89,19,135,75,26,345,1
03_10_sparse_code.cha,133,78,14,53,58,336,0
03_11_sparse_code.cha,65,84,5,48,113,315,0
03_12_sparse_code.cha,57,20,46,105,51,279,0
03_13_sparse_code.cha,8,44,15,16,21,157,53
03_14_sparse_code.cha,47,35,7,17,0,106,0
03_15_sparse_code.cha,72,50,0,0,82,204,0
03_16_sparse_code.cha,0,38,0,79,116,233,0
03_17_sparse_code.cha,0,83,55,0,52,190,0
04_06_sparse_code.cha,0,0,0,0,0,926,926
04_07_sparse_code.cha,0,0,0,0,0,1089,1089
04_08_sparse_code.cha,107,58,102,136,0,447,0
04_09_sparse_code.cha,216,178,87,78,144,703,0
04_10_sparse_code.cha,161,104,102,152,76,595,0
04_11_sparse_code.cha,226,274,0,265,224,989,0
04_12_sparse_code.cha,68,91,0,53,31,243,0
04_13_sparse_code.cha,27,89,88,53,112,369,0
04_14_sparse_code.cha,0,227,2,74,117,420,0
04_15_sparse_code.cha,105,11,0,0,70,186,0
04_16_sparse_code.cha,0,51,102,0,51,204,0
04_17_sparse_code.cha,0,44,196,17,0,257,0
06_06_sparse_code.cha,0,0,0,0,0,513,513
06_07_sparse_code.cha,0,0,0,0,0,1067,1067
06_08_sparse_code.cha,7,171,67,59,110,414,0
06_09_sparse_code.cha,163,100,80,64,29,436,0
06_10_sparse_code.cha,81,33,51,70,114,349,0
06_11_sparse_code.cha,96,19,80,127,82,404,0
06_12_sparse_code.cha,55,60,46,53,3,217,0
06_13_sparse_code.cha,79,31,98,272,75,555,0
06_14_sparse_code.cha,98,0,106,126,0,330,0
06_15_sparse_code.cha,101,215,93,0,0,409,0
06_16_sparse_code.cha,251,0,0,144,231,626,0
06_17_sparse_code.cha,0,207,0,98,97,402,0
07_06_sparse_code.cha,0,0,0,0,0,819,819
07_08_sparse_code.cha,13,82,127,147,145,716,202
07_09_sparse_code.cha,151,63,104,81,83,482,0
07_10_sparse_code.cha,116,77,0,238,61,492,0
07_11_sparse_code.cha,9,132,59,9,66,353,78
07_12_sparse_code.cha,103,56,62,33,45,302,0
07_13_sparse_code.cha,111,159,25,76,67,449,0
07_14_sparse_code.cha,58,0,78,0,112,248,0
07_15_sparse_code.cha,219,0,74,92,0,385,0
07_16_sparse_code.cha,131,101,78,20,0,330,0
07_17_sparse_code.cha,0,29,0,119,129,277,0
08_06_sparse_code.cha,0,0,0,0,0,447,447
08_07_sparse_code.cha,0,0,0,0,0,598,598
08_08_sparse_code.cha,86,167,97,73,0,444,0
08_09_sparse_code.cha,54,49,34,77,74,290,0
08_10_sparse_code.cha,119,98,29,81,182,651,0
08_11_sparse_code.cha,82,108,107,204,243,744,0
