filename,region_type,start_time,stop_time
45_12_sparse_code.cha,skip,19591570,20511860
45_12_sparse_code.cha,skip,22340880,22824790
45_12_sparse_code.cha,makeup,8100000,9000350
45_12_sparse_code.cha,subregion,2700000,6300000
45_12_sparse_code.cha,subregion,8100000,11700000
45_12_sparse_code.cha,subregion,19500000,23100000
45_12_sparse_code.cha,subregion,23100000,26700000
45_12_sparse_code.cha,subregion,34200000,37800000
45_12_sparse_code.cha,silence,27805870,32850680
45_12_sparse_code.cha,silence,40099000,44279490
38_11_sparse_code.cha,subregion,1500000,5100000
38_11_sparse_code.cha,subregion,7200000,10800000
38_11_sparse_code.cha,subregion,10800000,14400000
38_11_sparse_code.cha,subregion,31200000,34800000
38_11_sparse_code.cha,subregion,43800000,47400000
38_11_sparse_code.cha,silence,5017950,7941450
38_11_sparse_code.cha,silence,19411140,20415000
38_11_sparse_code.cha,silence,35756400,40519340
30_14_sparse_code.cha,subregion,3000000,6600000
30_14_sparse_code.cha,subregion,18900000,22500000
30_14_sparse_code.cha,subregion,23400000,27000000
30_14_sparse_code.cha,subregion,28800000,32400000
30_14_sparse_code.cha,subregion,36300000,39900000
30_14_sparse_code.cha,silence,12137210,18983630
30_14_sparse_code.cha,silence,40023750,57599990
26_16_sparse_code.cha,subregion,300000,3900000
26_16_sparse_code.cha,subregion,4200000,7800000
26_16_sparse_code.cha,subregion,8100000,11700000
26_16_sparse_code.cha,subregion,11700000,15300000
26_16_sparse_code.cha,subregion,27900000,31500000
26_16_sparse_code.cha,silence,16192070,26128260
26_16_sparse_code.cha,silence,40582430,57599990
29_16_sparse_code.cha,subregion,2400000,6000000
29_16_sparse_code.cha,subregion,10800000,14400000
29_16_sparse_code.cha,subregion,22800000,26400000
29_16_sparse_code.cha,subregion,33900000,37500000
29_16_sparse_code.cha,subregion,40800000,44400000
29_16_sparse_code.cha,silence,820,699050
29_16_sparse_code.cha,silence,15433930,21318710
29_16_sparse_code.cha,silence,26345500,27103400
29_16_sparse_code.cha,silence,30632150,32549140
29_16_sparse_code.cha,silence,37434810,39216650
42_10_sparse_code.cha,skip,4038270,4204110
42_10_sparse_code.cha,skip,23100580,23272380
42_10_sparse_code.cha,subregion,1800000,5400000
42_10_sparse_code.cha,subregion,6600000,10200000
42_10_sparse_code.cha,subregion,10200000,13800000
42_10_sparse_code.cha,subregion,23100000,26700000
42_10_sparse_code.cha,subregion,30300000,33900000
42_10_sparse_code.cha,silence,4038270,4204110
42_10_sparse_code.cha,silence,5637730,5911990
42_10_sparse_code.cha,silence,13264940,23271380
42_10_sparse_code.cha,silence,38752730,57599990
34_08_sparse_code.cha,subregion,1500000,5100000
34_08_sparse_code.cha,subregion,12900000,16500000
34_08_sparse_code.cha,subregion,25200000,28800000
34_08_sparse_code.cha,subregion,30900000,34500000
34_08_sparse_code.cha,subregion,34800000,38400000
34_08_sparse_code.cha,silence,8751080,11338160
34_08_sparse_code.cha,silence,19081570,21585840
34_08_sparse_code.cha,silence,41866260,57599990
42_07_sparse_code.cha,skip,1200640,3291340
42_07_sparse_code.cha,skip,8675740,9149620
